     0.279253     0.394923     0.483680
010323061406a
     -822.585     -859.532     -830.385
     -684.475     -606.252     -555.607
     -458.543     -309.299     -238.458
     -188.642     -28.1167      50.1086
      64.2385      199.001      264.276
      246.933      360.604      393.324
      337.529      464.964      454.705
      354.398      526.745      476.626
      345.258      556.226      481.077
      361.438      556.767      476.211
      430.617      529.960      460.140
      542.220      482.685      430.847
      652.823      429.229      393.538
      708.093      385.298      359.248
      669.212      356.898      335.200
      529.913      331.515      313.814
      316.192      278.901      269.314
      70.7208      163.749      166.958
     -167.768     -34.6616     -17.8575
     -378.016     -305.790     -280.266
     -555.927     -603.824     -577.820
     -702.710     -860.165     -840.134
     -811.047     -1007.86     -993.730
     -859.874     -1007.04     -991.129
010323061622a
     -791.361     -832.167     -825.372
     -635.856     -622.366     -586.197
     -393.332     -342.073     -300.257
     -120.453     -48.5853     -25.6657
      115.905      205.864      196.049
      268.212      388.951      348.836
      329.142      493.681      439.175
      332.220      533.599      485.092
      331.591      531.768      504.232
      371.709      509.636      507.147
      463.206      480.664      497.690
      577.626      449.996      477.686
      663.158      417.818      450.704
      672.024      382.514      421.175
      584.179      340.986      389.098
      414.843      286.554      344.565
      203.145      207.397      267.460
     -9.98985      88.8689      135.085
     -200.940     -79.3333     -64.5078
     -368.388     -293.747     -320.070
     -522.438     -530.681     -593.073
     -666.099     -747.605     -826.047
     -782.257     -893.925     -961.199
     -835.848     -927.816     -961.607
010323061839a
     -680.091     -749.072     -804.468
     -552.768     -544.099     -558.631
     -343.178     -298.662     -290.838
     -109.495     -47.9470     -46.4924
      85.2622      175.804      151.387
      203.506      347.749      299.445
      249.450      454.401      403.640
      262.494      496.377      469.406
      291.552      488.471      498.531
      365.015      455.716      493.344
      473.383      425.421      463.276
      574.156      417.243      426.907
      615.733      434.895      405.667
      566.269      463.256      411.307
      430.920      472.815      434.466
      247.968      430.432      442.588
      66.8383      312.526      391.043
     -78.5335      115.579      243.975
     -185.092     -140.224     -4.83891
     -275.995     -415.534     -322.082
     -379.294     -662.624     -642.158
     -503.488     -838.200     -889.440
     -625.484     -913.751     -1005.71
     -699.128     -880.571     -970.326
010323062055a
     -603.201     -752.361     -799.685
     -507.095     -540.301     -542.458
     -341.972     -281.411     -260.743
     -134.099     -15.8384     -9.59289
      71.1219      216.141      180.020
      230.227      383.090      303.676
      322.985      470.627      374.839
      361.431      485.599      411.972
      380.968      453.673      429.083
      418.155      410.152      433.693
      487.632      386.805      430.685
      571.378      399.595      426.682
      626.660      442.256      429.826
      608.481      488.443      443.756
      494.117      501.695      459.645
      296.236      449.240      452.803
