VITMO ModelWeb Browser Results
/iri 2007/ model listing

*Required input parameters*
Year= 2004., Month= 01, Day= 01, Hour=12.,
Time_type = Local
Coordinate_type = Geographic
Latitude= 50., Longitude= 40., Height= 60.
Prof. parameters: Start= 80. Stop= 2000. Step= 5.

*Optional input parameters:*
Sunspot number(Rz12) =not specifyed
Ionospheric index(IG12) =-50.
Upper limit for Electron content = not specifyed
F peak model = URSI
Ne Topside = NeQuick
foF2 Storm model = on
Bottomside Thickness = B0 Table
F1 occurrence probability = Scotto-1997 no L
D-Region Ne = FPT-2000
Topside Te = IRI-95
Ion Composition = DS95/TT05
/A value of -1 indicates that the parameter is not available for the
specified range/
/TEC=-1, means you have not entered an upper boundary height in the
OPTIONAL INPUT section./

   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Ratio_of_Ne_to_NmF2
4 O_ions, %
5 N_ions, %
6 H_ions, %
7 He_ions, %
8 O2_ions, %
9 NO_ions, %

       1            2      3     4     5     6     7     8     9
  405.00  0.31706E+12  0.381  97.4   0.2   0.3   0.0   0.0   0.0
  410.00  0.30541E+12  0.367  97.4   0.3   0.3   0.0   0.0   0.0
  415.00  0.29424E+12  0.354  97.3   0.3   0.3   0.0   0.0   0.0
  420.00  0.28354E+12  0.341  97.3   0.3   0.3   0.0   0.0   0.0
  425.00  0.27329E+12  0.329  97.2   0.3   0.3   0.0   0.0   0.0
  430.00  0.26348E+12  0.317  97.1   0.3   0.3   0.0   0.0   0.0
  435.00  0.25408E+12  0.305  97.1   0.4   0.3   0.0   0.0   0.0
  440.00  0.24508E+12  0.295  97.0   0.4   0.4   0.0   0.0   0.0
  445.00  0.23646E+12  0.284  96.9   0.4   0.4   0.0   0.0   0.0
  450.00  0.22821E+12  0.274  96.9   0.4   0.4   0.0   0.0   0.0
  455.00  0.22031E+12  0.265  96.8   0.4   0.4   0.0   0.0   0.0
  460.00  0.21275E+12  0.256  96.7   0.5   0.4   0.0   0.0   0.0
  465.00  0.20551E+12  0.247  96.6   0.5   0.4   0.0   0.0   0.0
  470.00  0.19858E+12  0.239  96.5   0.5   0.4   0.0   0.0   0.0
  475.00  0.19194E+12  0.231  96.5   0.6   0.5   0.0   0.0   0.0
  480.00  0.18558E+12  0.223  96.4   0.6   0.5   0.0   0.0   0.0
  485.00  0.17948E+12  0.216  96.3   0.6   0.5   0.0   0.0   0.0
  490.00  0.17365E+12  0.209  96.2   0.7   0.5   0.0   0.0   0.0
  495.00  0.16805E+12  0.202  96.1   0.7   0.5   0.0   0.0   0.0
  500.00  0.16269E+12  0.196  96.0   0.8   0.5   0.0   0.0   0.0
  505.00  0.15755E+12  0.189  95.9   0.8   0.5   0.0   0.0   0.0
  510.00  0.15262E+12  0.183  95.8   0.9   0.6   0.0   0.0   0.0
  515.00  0.14789E+12  0.178  95.7   0.9   0.6   0.0   0.0   0.0
