*ALTITUDE   ELECTRON DENSITY  
*(km)       Ne (1/cm^3)       
*---------  ----------------  
   80.00            1.000
   90.00          472.000
  100.00         5400.000
  110.00         5990.000
  120.00         3184.000
  130.00         1425.000
  140.00         1159.000
  150.00         1666.000
  160.00         2898.000
  170.00         4597.000
  180.00         6444.000
  190.00         7578.000
  200.00         8988.000
  210.00        10777.000
  220.00        13111.000
  230.00        16286.000
  240.00        20912.000
  250.00        28718.000
  260.00        46292.000
  270.00        73915.000
  280.00       112271.000
  290.00       162518.000
  300.00       224613.000
  310.00       296946.000
  320.00       376245.000
  330.00       457820.000
  340.00       536155.000
  350.00       605750.000
  360.00       662020.000
  370.00       702070.000
  380.00       725209.000
  390.00       733247.000
  400.00       732578.000
  410.00       729033.000
  420.00       722792.000
  430.00       713987.000
  440.00       702800.000
  450.00       689459.000
  460.00       674225.000
  470.00       657385.000
  480.00       639235.000
  490.00       620074.000
  500.00       600195.000
  510.00       579873.000
  520.00       559361.000
  530.00       538886.000
  540.00       518645.000
  550.00       498805.000
  560.00       479503.000
  570.00       460848.000
  580.00       442921.000
