*ALTITUDE   ELECTRON DENSITY  
*(km)       Ne (1/cm^3)       
*---------  ----------------  
   70.00          762.000
   80.00         1858.000
   90.00        35284.000
  100.00       170621.000
  110.00       192547.000
  120.00       182425.000
  130.00       200164.000
  140.00       226877.000
  150.00       257057.000
  160.00       291092.000
  170.00       329279.000
  180.00       367958.000
  190.00       401858.000
  200.00       426328.000
  210.00       482792.000
  220.00       574013.000
  230.00       676358.000
  240.00       789633.000
  250.00       913198.000
  260.00      1045889.000
  270.00      1185970.000
  280.00      1331102.000
  290.00      1478349.000
  300.00      1624231.000
  310.00      1764812.000
  320.00      1895844.000
  330.00      2012943.000
  340.00      2111794.000
  350.00      2188355.000
  360.00      2239004.000
  370.00      2260397.000
  380.00      2257135.000
  390.00      2243436.000
  400.00      2219955.000
  410.00      2187275.000
  420.00      2146175.000
  430.00      2097579.000
  440.00      2042532.000
  450.00      1982138.000
  460.00      1917527.000
  470.00      1849817.000
  480.00      1780070.000
  490.00      1709267.000
  500.00      1638298.000
  510.00      1567940.000
  520.00      1498850.000
  530.00      1431571.000
  540.00      1366536.000
  550.00      1304073.000
  560.00      1244413.000
  570.00      1187709.000
  580.00      1134047.000
