*ALTITUDE   ELECTRON DENSITY  
*(km)       Ne (1/cm^3)       
*---------  ----------------  
   80.00            1.000
   90.00          472.000
  100.00         1661.000
  110.00         1707.000
  120.00          908.000
  130.00          406.000
  140.00          330.000
  150.00          475.000
  160.00          826.000
  170.00         1310.000
  180.00         2060.000
  190.00         3119.000
  200.00         4816.000
  210.00         7676.000
  220.00        12807.000
  230.00        20408.000
  240.00        30305.000
  250.00        42085.000
  260.00        54855.000
  270.00        67375.000
  280.00        78321.000
  290.00        86606.000
  300.00        91660.000
  310.00        93592.000
  320.00        93474.000
  330.00        92472.000
  340.00        90689.000
  350.00        88209.000
  360.00        85133.000
  370.00        81572.000
  380.00        77643.000
  390.00        73460.000
  400.00        69131.000
  410.00        64753.000
  420.00        60410.000
  430.00        56169.000
  440.00        52086.000
  450.00        48201.000
  460.00        44540.000
  470.00        41121.000
  480.00        37951.000
  490.00        35030.000
  500.00        32352.000
  510.00        29908.000
  520.00        27684.000
  530.00        25667.000
  540.00        23841.000
  550.00        22191.000
  560.00        20702.000
  570.00        19359.000
  580.00        18149.000
