VITMO ModelWeb Browser Results
/iri 2007/ model listing

*Required input parameters*
Year= 2004., Month= 01, Day= 01, Hour=20.,
Time_type = Local
Coordinate_type = Geographic
Latitude= 50., Longitude= 40., Height= 60.
Prof. parameters: Start= 80. Stop= 2000. Step= 5.

*Optional input parameters:*
Sunspot number(Rz12) =not specifyed
Ionospheric index(IG12) =-50.
Upper limit for Electron content = not specifyed
F peak model = URSI
Ne Topside = NeQuick
foF2 Storm model = on
Bottomside Thickness = B0 Table
F1 occurrence probability = Scotto-1997 no L
D-Region Ne = FPT-2000
Topside Te = IRI-95
Ion Composition = DS95/TT05
/A value of -1 indicates that the parameter is not available for the
specified range/
/TEC=-1, means you have not entered an upper boundary height in the
OPTIONAL INPUT section./

   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Ratio_of_Ne_to_NmF2
4 O_ions, %
5 N_ions, %
6 H_ions, %
7 He_ions, %
8 O2_ions, %
9 NO_ions, %

       1            2      3     4     5     6     7     8     9
   80.00  0.63120E+07  0.000   0.0   0.0   0.0   6.0  19.0  75.0
   85.00  0.30173E+09  0.003   0.0   0.0   0.0  17.0  43.0  40.0
   90.00  0.50772E+09  0.005   0.0   0.0   0.0  23.0  67.0  10.0
   95.00  0.17070E+10  0.018   0.0   0.0   0.0  16.0  79.0   5.0
  100.00  0.22434E+10  0.023   0.0   0.0   0.0   9.0  91.0   0.0
  105.00  0.23353E+10  0.024   0.0   0.0   0.0  16.0  84.0   0.0
  110.00  0.23384E+10  0.024   0.0   0.0   0.0  23.0  78.0   0.0
  115.00  0.19366E+10  0.020   0.0   0.0   0.0  29.0  71.0   0.0
  120.00  0.13115E+10  0.014   0.0   0.0   0.0  36.0  64.0   0.0
  125.00  0.88206E+09  0.009   0.0   0.0   0.0  34.0  66.0   0.0
  130.00  0.66049E+09  0.007   0.0   0.0   0.0  32.0  68.0   0.0
  135.00  0.57879E+09  0.006   0.0   0.0   0.0  36.0  64.0   0.0
  140.00  0.59408E+09  0.006   0.0   0.0   0.0  40.0  60.0   0.0
  145.00  0.69144E+09  0.007   1.0   0.0   0.0  40.0  59.0   0.0
  150.00  0.86780E+09  0.009   2.0   0.0   0.0  40.0  58.0   0.0
  155.00  0.11144E+10  0.012   4.0   0.0   0.0  40.0  57.0   0.0
  160.00  0.14082E+10  0.015   5.0   0.0   0.0  39.0  56.0   0.0
  165.00  0.17328E+10  0.018  12.0   0.0   0.0  37.0  51.0   0.0
  170.00  0.21487E+10  0.022  19.0   0.0   0.0  34.0  46.0   0.0
  175.00  0.25726E+10  0.027  27.0   0.0   0.0  32.0  41.0   0.0
  180.00  0.29731E+10  0.031  34.0   0.0   0.0  29.0  37.0   0.0
  185.00  0.34545E+10  0.036  43.0   0.0   0.0  25.0  32.0   0.0
  190.00  0.40404E+10  0.042  53.0   0.0   0.0  20.0  27.0   0.0
  195.00  0.47651E+10  0.049  56.0   0.0   0.0  15.0  29.0   0.0
  200.00  0.56811E+10  0.059  60.0   0.0   0.0  10.0  30.0   0.0
