VITMO ModelWeb Browser Results
/iri 2007/ model listing

*Required input parameters*
Year= 2004., Month= 01, Day= 01, Hour=1.5,
Time_type = Local
Coordinate_type = Geographic
Latitude= 50., Longitude= 40., Height= 60.
Prof. parameters: Start= 80. Stop= 2000. Step= 5.

*Optional input parameters:*
Sunspot number(Rz12) =not specifyed
Ionospheric index(IG12) =-50.
Upper limit for Electron content = not specifyed
F peak model = URSI
Ne Topside = NeQuick
foF2 Storm model = on
Bottomside Thickness = B0 Table
F1 occurrence probability = Scotto-1997 no L
D-Region Ne = FPT-2000
Topside Te = IRI-95
Ion Composition = DS95/TT05
/A value of -1 indicates that the parameter is not available for the
specified range/
/TEC=-1, means you have not entered an upper boundary height in the
OPTIONAL INPUT section./

   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Ratio_of_Ne_to_NmF2
4 O_ions, %
5 N_ions, %
6 H_ions, %
7 He_ions, %
8 O2_ions, %
9 NO_ions, %

       1            2      3     4     5     6     7     8     9
  405.00  0.11128E+12  0.767  96.9   1.0   0.3   0.0   0.0   0.0
  410.00  0.10794E+12  0.744  96.8   1.1   0.3   0.0   0.0   0.0
  415.00  0.10460E+12  0.721  96.6   1.2   0.3   0.0   0.0   0.0
  420.00  0.10129E+12  0.698  96.5   1.3   0.4   0.0   0.0   0.0
  425.00  0.98026E+11  0.675  96.3   1.4   0.4   0.0   0.0   0.0
  430.00  0.94810E+11  0.653  96.1   1.6   0.4   0.0   0.0   0.0
  435.00  0.91655E+11  0.631  95.9   1.8   0.4   0.0   0.0   0.0
  440.00  0.88568E+11  0.610  95.7   1.9   0.4   0.0   0.0   0.0
  445.00  0.85555E+11  0.589  95.5   2.1   0.5   0.0   0.0   0.0
  450.00  0.82620E+11  0.569  95.3   2.3   0.5   0.0   0.0   0.0
  455.00  0.79767E+11  0.549  95.0   2.6   0.5   0.0   0.0   0.0
  460.00  0.76998E+11  0.530  94.7   2.8   0.5   0.0   0.0   0.0
  465.00  0.74316E+11  0.512  94.4   3.1   0.6   0.0   0.0   0.0
  470.00  0.71720E+11  0.494  94.0   3.4   0.6   0.0   0.0   0.0
  475.00  0.69212E+11  0.477  93.7   3.7   0.6   0.0   0.0   0.0
  480.00  0.66790E+11  0.460  93.3   4.1   0.7   0.0   0.0   0.0
  485.00  0.64453E+11  0.444  92.8   4.5   0.7   0.0   0.0   0.0
  490.00  0.62202E+11  0.428  92.3   4.9   0.7   0.0   0.0   0.0
  495.00  0.60033E+11  0.414  91.8   5.3   0.8   0.0   0.0   0.0
  500.00  0.57946E+11  0.399  91.3   5.9   0.8   0.0   0.0   0.0
  505.00  0.55938E+11  0.385  90.7   6.4   0.9   0.0   0.0   0.0
  510.00  0.54008E+11  0.372  90.0   7.0   0.9   0.0   0.0   0.0
  515.00  0.52152E+11  0.359  89.3   7.7   0.9   0.0   0.0   0.0
  520.00  0.50369E+11  0.347  88.5   8.4   1.0   0.0   0.0   0.0
  525.00  0.48656E+11  0.335  87.7   9.1   1.0   0.0   0.0   0.0
  530.00  0.47010E+11  0.324  86.9  10.0   1.1   0.0   0.0   0.0
  535.00  0.45430E+11  0.313  85.9  10.9   1.1   0.0   0.0   0.0
  540.00  0.43913E+11  0.303  84.9  11.8   1.2   0.0   0.0   0.0
  545.00  0.42457E+11  0.292  83.8  12.9   1.2   0.0   0.0   0.0
  550.00  0.41059E+11  0.283  82.7  14.0   1.3   0.0   0.0   0.0
  555.00  0.39716E+11  0.274  81.4  15.2   1.3   0.0   0.0   0.0
  560.00  0.38428E+11  0.265  80.1  16.4   1.4   0.0   0.0   0.0
  565.00  0.37191E+11  0.256  78.7  17.8   1.4   0.0   0.0   0.0
  570.00  0.36003E+11  0.248  77.3  19.2   1.5   0.0   0.0   0.0
  575.00  0.34862E+11  0.240  75.7  20.7   1.6   0.0   0.0   0.0

------------------------------------------------------------------------
