FPS observing times, UT:

                   Poker Flat       Inuvik           Either
Feb 25, 2001:      04:20-15:45      03:25-14:50      03:25-15:45
Feb 26, 2001:      04:25-15:40      03:30-14:45      03:30-15:40
Feb 27, 2001:      04:50-15:35      03:30-14:40      03:30-15:35
Feb 28, 2001:      06:25-15:35      03:35-14:35      03:35-15:35
Mar 01, 2001:      07:55-15:30      03:40-14:30      03:40-15:30
Mar 02, 2001:      09:20-15:25      03:45-14:30      03:45-15:25
Mar 03, 2001:      10:40-15:20      03:45-14:25      03:45-15:20
Mar 04, 2001:      11:55-15:20      03:50-14:20      03:50-15:20
Mar 05, 2001:      13:00-15:15      03:55-14:15      03:55-15:15
Mar 06, 2001:      13:45-15:10      04:00-14:10      04:00-15:10
Mar 07, 2001:      14:20-15:10      04:00-14:10      04:00-15:10
Mar 08, 2001:      14:40-15:05      04:05-14:05      04:05-15:05
Mar 09, 2001:      14:55-15:00      04:10-14:00      04:10-15:00
Mar 10, 2001:      05:00-06:15      04:15-13:55      04:15-13:55
Mar 11, 2001:      05:05-08:15      04:15-13:50      04:15-13:50
Mar 12, 2001:      05:05-10:35      04:20-13:45      04:20-13:45
Mar 13, 2001:      05:10-14:45      04:25-13:40      04:25-14:45
Mar 14, 2001:      05:15-14:40      04:30-13:35      04:30-14:40
Mar 15, 2001:      05:15-14:40      04:30-13:35      04:30-14:40
Mar 16, 2001:      05:20-14:35      04:35-13:30      04:35-14:35
Mar 17, 2001:      05:25-14:30      04:40-13:25      04:40-14:30
Mar 18, 2001:      05:25-14:25      04:45-13:20      04:45-14:25
Mar 19, 2001:      05:30-14:20      04:50-13:15      04:50-14:20
Mar 20, 2001:      05:35-14:20      04:50-13:10      04:50-14:20
Mar 21, 2001:      05:35-14:15      04:55-13:05      04:55-14:15
Mar 22, 2001:      05:40-14:10      05:00-13:00      05:00-14:10
Mar 23, 2001:      05:45-14:05      05:05-12:55      05:05-14:05
Mar 24, 2001:      05:45-14:00      05:10-12:50      05:10-14:00
Mar 25, 2001:      05:50-14:00      05:15-12:45      05:15-14:00
Mar 26, 2001:      05:55-13:55      05:20-12:40      05:20-13:55
Mar 27, 2001:      06:00-13:50      05:25-12:35      05:25-13:50
Mar 28, 2001:      06:00-13:45      05:25-12:30      05:25-13:45
Mar 29, 2001:      07:10-13:40      05:30-12:25      05:30-13:40
Mar 30, 2001:      08:30-13:35      05:35-12:20      05:35-13:35
Mar 31, 2001:      09:50-13:30      05:40-12:15      05:40-13:30
Apr 01, 2001:      10:55-13:30      05:45-12:10      05:45-13:30
Apr 02, 2001:      11:45-13:25      05:50-12:05      05:50-13:25
Apr 03, 2001:      12:25-13:20      05:55-11:55      05:55-13:20
Apr 04, 2001:      12:50-13:15      06:00-11:50      06:00-13:15
Apr 05, 2001:      13:00-13:10      06:05-11:45      06:05-13:10
Apr 06, 2001:      **:**-**:**      06:15-11:40      06:15-11:40
Apr 07, 2001:      **:**-**:**      06:20-11:35      06:20-11:35
Apr 08, 2001:      06:45-07:30      06:25-11:25      06:25-11:25
Apr 09, 2001:      06:50-12:50      06:30-11:20      06:30-12:50
Apr 10, 2001:      06:55-12:45      06:35-11:15      06:35-12:45
Apr 11, 2001:      07:00-12:40      06:45-11:05      06:45-12:40
Apr 12, 2001:      07:05-12:35      06:50-11:00      06:50-12:35
Apr 13, 2001:      07:10-12:30      06:55-10:50      06:55-12:30
Apr 14, 2001:      07:10-12:25      07:05-10:45      07:05-12:25
Apr 15, 2001:      07:15-12:20      07:15-10:35      07:15-12:20
Apr 16, 2001:      07:20-12:15      07:20-10:25      07:20-12:15
Apr 17, 2001:      07:25-12:10      07:30-10:15      07:25-12:10
Apr 18, 2001:      07:35-12:05      07:40-10:05      07:35-12:05
Apr 19, 2001:      07:40-11:55      07:55-09:50      07:40-11:55
Apr 20, 2001:      07:45-11:50      08:10-09:35      07:45-11:50
Apr 21, 2001:      07:50-11:45      08:30-09:15      07:50-11:45
Apr 22, 2001:      07:55-11:40      **:**-**:**      07:55-11:40
Apr 23, 2001:      08:00-11:30      **:**-**:**      08:00-11:30
Apr 24, 2001:      08:10-11:25      **:**-**:**      08:10-11:25
Apr 25, 2001:      08:15-11:15      **:**-**:**      08:15-11:15
Apr 26, 2001:      08:25-11:10      **:**-**:**      08:25-11:10
Apr 27, 2001:      08:35-11:00      **:**-**:**      08:35-11:00
Apr 28, 2001:      08:50-10:50      **:**-**:**      08:50-10:50
